evals, dtw
51, 0.004271859766207894
52, 0.004271859766207894
53, 0.004271859766207894
54, 0.004271859766207894
55, 0.004271859766207894
56, 0.004271859766207894
57, 0.004271859766207894
58, 0.01566003667483817
59, 0.01566003667483817
60, 0.01566003667483817
62, 0.01566003667483817
64, 0.01566003667483817
65, 0.004439799938784111
66, 0.004439799938784111
67, 0.004439799938784111
68, 0.004439799938784111
69, 0.004439799938784111
70, 0.004439799938784111
71, 0.004439799938784111
72, 0.004439799938784111
74, 0.004439799938784111
76, 0.004439799938784111
77, 0.004439799938784111
78, 0.004439799938784111
79, 0.004439799938784111
81, 0.004439799938784111
82, 0.004439799938784111
83, 0.004439799938784111
84, 0.004439799938784111
85, 0.004439799938784111
86, 0.004439799938784111
87, 0.004439799938784111
89, 0.004439799938784111
90, 0.004439799938784111
91, 0.004439799938784111
92, 0.004439799938784111
93, 0.004439799938784111
94, 0.004439799938784111
95, 0.004439799938784111
96, 0.004439799938784111
97, 0.004439799938784111
98, 0.004439799938784111
99, 0.004439799938784111
100, 0.004439799938784111
101, 0.004439799938784111
102, 0.004439799938784111
103, 0.004439799938784111
105, 0.004439799938784111
106, 0.004439799938784111
108, 0.004439799938784111
109, 0.004439799938784111
110, 0.004439799938784111
111, 0.004439799938784111
112, 0.004439799938784111
114, 0.004439799938784111
115, 0.004439799938784111
116, 0.004439799938784111
117, 0.004439799938784111
118, 0.004439799938784111
119, 0.004439799938784111
121, 0.004439799938784111
122, 0.004439799938784111
124, 0.004439799938784111
126, 0.004439799938784111
127, 0.004439799938784111
128, 0.004439799938784111
129, 0.004439799938784111
130, 0.004439799938784111
131, 0.004439799938784111
132, 0.004439799938784111
133, 0.004439799938784111
134, 0.004439799938784111
135, 0.004439799938784111
136, 0.004439799938784111
137, 0.004439799938784111
138, 0.004439799938784111
139, 0.004439799938784111
140, 0.004439799938784111
142, 0.004439799938784111
143, 0.004439799938784111
144, 0.004439799938784111
145, 0.004439799938784111
147, 0.004439799938784111
148, 0.004439799938784111
149, 0.004439799938784111
150, 0.004439799938784111
151, 0.004439799938784111
153, 0.004439799938784111
155, 0.004439799938784111
156, 0.004439799938784111
157, 0.004439799938784111
158, 0.004439799938784111
159, 0.004439799938784111
