evals, mean, best, worst, success num
2, 3.7555279821567464, 3.54636219175742, 3.9999999999999996, 0
4, 3.700853727080384, 3.4447891056390674, 3.9999999999999996, 0
6, 3.6976898899670694, 3.4389114584597924, 3.9999999999999996, 0
7, 1.1666157432322588, 0.8598315255451292, 1.357879265580181, 0
11, 1.1666157432322588, 0.8598315255451292, 1.357879265580181, 0
15, 1.1666157432322588, 0.8598315255451292, 1.357879265580181, 0
19, 1.1666157432322588, 0.8598315255451292, 1.357879265580181, 0
21, 0.1021797710357808, 0.031875939182929434, 0.14431648358883192, 1
25, 0.1021797710357808, 0.031875939182929434, 0.14431648358883192, 1
26, 0.08329858440196705, 0.0516454877821375, 0.12118450102199935, 2
29, 0.05610436117938737, 0.014738535606463252, 0.09029027731319329, 3
32, 0.00524992893832638, 0.003741155925097572, 0.008748715003025619, 4
36, 0.00524992893832638, 0.003741155925097572, 0.008748715003025619, 4
40, 0.00524992893832638, 0.003741155925097572, 0.008748715003025619, 4
44, 0.00524992893832638, 0.003741155925097572, 0.008748715003025619, 4
48, 0.00524992893832638, 0.003741155925097572, 0.008748715003025619, 4
50, 0.0033738403146245646, 0.0022302041770576797, 0.004818930284567368, 4
54, 0.0033738403146245646, 0.0022302041770576797, 0.004818930284567368, 4
58, 0.0033738403146245646, 0.0022302041770576797, 0.004818930284567368, 4
62, 0.0033738403146245646, 0.0022302041770576797, 0.004818930284567368, 4
66, 0.0033738403146245646, 0.0022302041770576797, 0.004818930284567368, 4
70, 0.0033738403146245646, 0.0022302041770576797, 0.004818930284567368, 4
74, 0.0033738403146245646, 0.0022302041770576797, 0.004818930284567368, 4
75, 0.0001956032210555746, 9.58285286049513e-5, 0.00023728315495308067, 4
79, 0.0001956032210555746, 9.58285286049513e-5, 0.00023728315495308067, 4
83, 0.0001956032210555746, 9.58285286049513e-5, 0.00023728315495308067, 4
87, 0.0001956032210555746, 9.58285286049513e-5, 0.00023728315495308067, 4
91, 0.0001956032210555746, 9.58285286049513e-5, 0.00023728315495308067, 4
92, 0.00013558340780742172, 4.0024182501220965e-5, 0.00028165411389676875, 4
96, 0.00013558340780742172, 4.0024182501220965e-5, 0.00028165411389676875, 4
100, 0.00013558340780742172, 4.0024182501220965e-5, 0.00028165411389676875, 4
103, 4.45395917303722e-6, 1.1383755363588489e-6, 7.648122331762037e-6, 4
107, 4.45395917303722e-6, 1.1383755363588489e-6, 7.648122331762037e-6, 4
111, 4.45395917303722e-6, 1.1383755363588489e-6, 7.648122331762037e-6, 4
115, 4.45395917303722e-6, 1.1383755363588489e-6, 7.648122331762037e-6, 4
119, 4.45395917303722e-6, 1.1383755363588489e-6, 7.648122331762037e-6, 4
123, 4.45395917303722e-6, 1.1383755363588489e-6, 7.648122331762037e-6, 4
127, 4.45395917303722e-6, 1.1383755363588489e-6, 7.648122331762037e-6, 4
131, 1.1774287606559697e-6, 1.0015696603028688e-6, 1.3694622184299447e-6, 4
135, 1.1774287606559697e-6, 1.0015696603028688e-6, 1.3694622184299447e-6, 4
139, 1.1774287606559697e-6, 1.0015696603028688e-6, 1.3694622184299447e-6, 4
143, 1.1774287606559697e-6, 1.0015696603028688e-6, 1.3694622184299447e-6, 4
146, 3.394587378752815e-7, 1.3389681483641289e-7, 4.711550200308062e-7, 4
150, 3.394587378752815e-7, 1.3389681483641289e-7, 4.711550200308062e-7, 4
154, 3.394587378752815e-7, 1.3389681483641289e-7, 4.711550200308062e-7, 4
156, 2.5465763267018064e-7, 1.356815532770853e-7, 4.7024769246286217e-7, 4
160, 2.5465763267018064e-7, 1.356815532770853e-7, 4.7024769246286217e-7, 4
164, 2.5465763267018064e-7, 1.356815532770853e-7, 4.7024769246286217e-7, 4
167, 8.743966192867314e-9, 4.137914354149225e-9, 1.390236055653332e-8, 4
171, 8.743966192867314e-9, 4.137914354149225e-9, 1.390236055653332e-8, 4
175, 8.743966192867314e-9, 4.137914354149225e-9, 1.390236055653332e-8, 4
179, 8.743966192867314e-9, 4.137914354149225e-9, 1.390236055653332e-8, 4
183, 8.743966192867314e-9, 4.137914354149225e-9, 1.390236055653332e-8, 4
187, 8.743966192867314e-9, 4.137914354149225e-9, 1.390236055653332e-8, 4
191, 8.743966192867314e-9, 4.137914354149225e-9, 1.390236055653332e-8, 4
194, 1.9413295906810335e-9, 1.3052904861552247e-9, 2.770595978216346e-9, 4
198, 1.9413295906810335e-9, 1.3052904861552247e-9, 2.770595978216346e-9, 4
202, 1.9413295906810335e-9, 1.3052904861552247e-9, 2.770595978216346e-9, 4
206, 1.9413295906810335e-9, 1.3052904861552247e-9, 2.770595978216346e-9, 4
207, 6.679272692853235e-10, 3.030951684418998e-10, 1.229214254639379e-9, 4
211, 6.679272692853235e-10, 3.030951684418998e-10, 1.229214254639379e-9, 4
215, 6.679272692853235e-10, 3.030951684418998e-10, 1.229214254639379e-9, 4
217, 5.786073337064817e-10, 4.3096243483984555e-10, 7.241643757480992e-10, 4
221, 5.786073337064817e-10, 4.3096243483984555e-10, 7.241643757480992e-10, 4
225, 5.786073337064817e-10, 4.3096243483984555e-10, 7.241643757480992e-10, 4
226, 2.6319475430017117e-10, 8.98652576056054e-11, 3.358200707458125e-10, 4
230, 2.6319475430017117e-10, 8.98652576056054e-11, 3.358200707458125e-10, 4
