evals, mean, best, worst, success num
2, 3.2017122639686546, 2.3827386406914477, 3.9999999999999996, 0
4, 0.09073832320111658, 0.0176643074260754, 0.15529066941804248, 2
8, 0.09073832320111658, 0.0176643074260754, 0.15529066941804248, 2
12, 0.09073832320111658, 0.0176643074260754, 0.15529066941804248, 2
14, 0.04172593958951544, 0.022795206799211425, 0.07698887666466217, 3
16, 0.025500457343469996, 0.0013075949402229813, 0.04101956419570551, 4
20, 0.025500457343469996, 0.0013075949402229813, 0.04101956419570551, 4
24, 0.025500457343469996, 0.0013075949402229813, 0.04101956419570551, 4
28, 0.025500457343469996, 0.0013075949402229813, 0.04101956419570551, 4
29, 0.002302157818025722, 0.0006086516304711464, 0.003113232436343797, 4
33, 0.002302157818025722, 0.0006086516304711464, 0.003113232436343797, 4
37, 0.002302157818025722, 0.0006086516304711464, 0.003113232436343797, 4
41, 0.002302157818025722, 0.0006086516304711464, 0.003113232436343797, 4
45, 0.002302157818025722, 0.0006086516304711464, 0.003113232436343797, 4
49, 0.002302157818025722, 0.0006086516304711464, 0.003113232436343797, 4
53, 0.002302157818025722, 0.0006086516304711464, 0.003113232436343797, 4
57, 0.002302157818025722, 0.0006086516304711464, 0.003113232436343797, 4
58, 0.0005093030464681212, 0.0002711532086781718, 0.0007472644899770452, 4
62, 0.0005093030464681212, 0.0002711532086781718, 0.0007472644899770452, 4
66, 0.0005093030464681212, 0.0002711532086781718, 0.0007472644899770452, 4
70, 0.0005093030464681212, 0.0002711532086781718, 0.0007472644899770452, 4
74, 0.00015296903594382287, 8.1527829355171e-5, 0.00022390044609610786, 4
78, 0.00015296903594382287, 8.1527829355171e-5, 0.00022390044609610786, 4
82, 0.00015296903594382287, 8.1527829355171e-5, 0.00022390044609610786, 4
86, 0.00015296903594382287, 8.1527829355171e-5, 0.00022390044609610786, 4
87, 1.5572824587258086e-5, 6.772834340705664e-6, 1.8506154669472256e-5, 4
91, 1.5572824587258086e-5, 6.772834340705664e-6, 1.8506154669472256e-5, 4
95, 1.5572824587258086e-5, 6.772834340705664e-6, 1.8506154669472256e-5, 4
99, 1.5572824587258086e-5, 6.772834340705664e-6, 1.8506154669472256e-5, 4
103, 1.5572824587258086e-5, 6.772834340705664e-6, 1.8506154669472256e-5, 4
107, 1.5572824587258086e-5, 6.772834340705664e-6, 1.8506154669472256e-5, 4
108, 2.81265638172458e-6, 1.2171294620521862e-6, 3.3444986882947897e-6, 4
112, 2.81265638172458e-6, 1.2171294620521862e-6, 3.3444986882947897e-6, 4
116, 2.81265638172458e-6, 1.2171294620521862e-6, 3.3444986882947897e-6, 4
