evals, mean, best, worst, success num
6, 3.0202328599792487, 2.543291516303103, 3.5447338002970454, 0
12, 0.25591649622239904, 0.19626811160604027, 0.3919313132826853, 0
18, 0.25591649622239904, 0.19626811160604027, 0.3919313132826853, 0
24, 0.04636497425278235, 0.019819539124110146, 0.09447485628871591, 3
30, 0.04636497425278235, 0.019819539124110146, 0.09447485628871591, 3
36, 0.04636497425278235, 0.019819539124110146, 0.09447485628871591, 3
42, 0.045027468353410406, 0.003065826520639222, 0.09594307713682267, 3
48, 0.045027468353410406, 0.003065826520639222, 0.09594307713682267, 3
54, 0.006137498920900767, 0.0023806947508523205, 0.007389766977583593, 4
60, 0.006137498920900767, 0.0023806947508523205, 0.007389766977583593, 4
66, 0.006137498920900767, 0.0023806947508523205, 0.007389766977583593, 4
72, 0.006137498920900767, 0.0023806947508523205, 0.007389766977583593, 4
78, 0.001884211842696278, 0.001878365599100871, 0.0018878431651157437, 4
84, 0.001884211842696278, 0.001878365599100871, 0.0018878431651157437, 4
90, 0.001884211842696278, 0.001878365599100871, 0.0018878431651157437, 4
96, 0.0018263221155735863, 0.0017559338865015355, 0.0018534220325902902, 4
102, 0.0018263221155735863, 0.0017559338865015355, 0.0018534220325902902, 4
108, 0.00027459530488297204, 0.000274017165516544, 0.0002750537931795459, 4
114, 0.00027459530488297204, 0.000274017165516544, 0.0002750537931795459, 4
120, 0.00027459530488297204, 0.000274017165516544, 0.0002750537931795459, 4
126, 0.00027459530488297204, 0.000274017165516544, 0.0002750537931795459, 4
132, 0.00027459530488297204, 0.000274017165516544, 0.0002750537931795459, 4
138, 0.00027459530488297204, 0.000274017165516544, 0.0002750537931795459, 4
144, 0.00027459530488297204, 0.000274017165516544, 0.0002750537931795459, 4
150, 0.00027459530488297204, 0.000274017165516544, 0.0002750537931795459, 4
156, 0.00027459530488297204, 0.000274017165516544, 0.0002750537931795459, 4
162, 0.00027459530488297204, 0.000274017165516544, 0.0002750537931795459, 4
168, 0.00027459530488297204, 0.000274017165516544, 0.0002750537931795459, 4
174, 0.00027459530488297204, 0.000274017165516544, 0.0002750537931795459, 4
180, 0.00027459530488297204, 0.000274017165516544, 0.0002750537931795459, 4
186, 0.00027459530488297204, 0.000274017165516544, 0.0002750537931795459, 4
192, 0.00027459530488297204, 0.000274017165516544, 0.0002750537931795459, 4
198, 0.00027459530488297204, 0.000274017165516544, 0.0002750537931795459, 4
204, 0.00027459530488297204, 0.000274017165516544, 0.0002750537931795459, 4
210, 0.00027459530488297204, 0.000274017165516544, 0.0002750537931795459, 4
216, 0.00027459530488297204, 0.000274017165516544, 0.0002750537931795459, 4
222, 0.00027459530488297204, 0.000274017165516544, 0.0002750537931795459, 4
228, 0.00027459530488297204, 0.000274017165516544, 0.0002750537931795459, 4
234, 0.00027459530488297204, 0.000274017165516544, 0.0002750537931795459, 4
240, 0.00027459530488297204, 0.000274017165516544, 0.0002750537931795459, 4
246, 0.00027459530488297204, 0.000274017165516544, 0.0002750537931795459, 4
252, 0.00027459530488297204, 0.000274017165516544, 0.0002750537931795459, 4
258, 0.00027459530488297204, 0.000274017165516544, 0.0002750537931795459, 4
264, 0.00027459530488297204, 0.000274017165516544, 0.0002750537931795459, 4
270, 0.00027459530488297204, 0.000274017165516544, 0.0002750537931795459, 4
276, 0.00027327692701022724, 0.00017958699841990605, 0.0005532172203723262, 4
282, 0.00027327692701022724, 0.00017958699841990605, 0.0005532172203723262, 4
288, 0.00027327692701022724, 0.00017958699841990605, 0.0005532172203723262, 4
294, 0.00027327692701022724, 0.00017958699841990605, 0.0005532172203723262, 4
300, 0.00027327692701022724, 0.00017958699841990605, 0.0005532172203723262, 4
306, 0.00027327692701022724, 0.00017958699841990605, 0.0005532172203723262, 4
312, 0.00027327692701022724, 0.00017958699841990605, 0.0005532172203723262, 4
318, 1.969373386254727e-6, 1.3274891701131832e-6, 3.883140312476522e-6, 4
324, 1.969373386254727e-6, 1.3274891701131832e-6, 3.883140312476522e-6, 4
330, 1.969373386254727e-6, 1.3274891701131832e-6, 3.883140312476522e-6, 4
336, 1.969373386254727e-6, 1.3274891701131832e-6, 3.883140312476522e-6, 4
342, 1.969373386254727e-6, 1.3274891701131832e-6, 3.883140312476522e-6, 4
348, 1.969373386254727e-6, 1.3274891701131832e-6, 3.883140312476522e-6, 4
354, 1.969373386254727e-6, 1.3274891701131832e-6, 3.883140312476522e-6, 4
360, 1.969373386254727e-6, 1.3274891701131832e-6, 3.883140312476522e-6, 4
366, 1.969373386254727e-6, 1.3274891701131832e-6, 3.883140312476522e-6, 4
372, 1.969373386254727e-6, 1.3274891701131832e-6, 3.883140312476522e-6, 4
378, 1.969373386254727e-6, 1.3274891701131832e-6, 3.883140312476522e-6, 4
384, 1.969373386254727e-6, 1.3274891701131832e-6, 3.883140312476522e-6, 4
390, 1.969373386254727e-6, 1.3274891701131832e-6, 3.883140312476522e-6, 4
396, 1.969373386254727e-6, 1.3274891701131832e-6, 3.883140312476522e-6, 4
402, 1.969373386254727e-6, 1.3274891701131832e-6, 3.883140312476522e-6, 4
408, 1.969373386254727e-6, 1.3274891701131832e-6, 3.883140312476522e-6, 4
414, 1.969373386254727e-6, 1.3274891701131832e-6, 3.883140312476522e-6, 4
420, 1.969373386254727e-6, 1.3274891701131832e-6, 3.883140312476522e-6, 4
426, 1.969373386254727e-6, 1.3274891701131832e-6, 3.883140312476522e-6, 4
432, 1.969373386254727e-6, 1.3274891701131832e-6, 3.883140312476522e-6, 4
438, 1.969373386254727e-6, 1.3274891701131832e-6, 3.883140312476522e-6, 4
444, 1.969373386254727e-6, 1.3274891701131832e-6, 3.883140312476522e-6, 4
450, 1.969373386254727e-6, 1.3274891701131832e-6, 3.883140312476522e-6, 4
456, 1.969373386254727e-6, 1.3274891701131832e-6, 3.883140312476522e-6, 4
462, 1.969373386254727e-6, 1.3274891701131832e-6, 3.883140312476522e-6, 4
468, 1.969373386254727e-6, 1.3274891701131832e-6, 3.883140312476522e-6, 4
474, 1.969373386254727e-6, 1.3274891701131832e-6, 3.883140312476522e-6, 4
480, 1.969373386254727e-6, 1.3274891701131832e-6, 3.883140312476522e-6, 4
486, 1.969373386254727e-6, 1.3274891701131832e-6, 3.883140312476522e-6, 4
492, 1.969373386254727e-6, 1.3274891701131832e-6, 3.883140312476522e-6, 4
498, 1.969373386254727e-6, 1.3274891701131832e-6, 3.883140312476522e-6, 4
504, 1.969373386254727e-6, 1.3274891701131832e-6, 3.883140312476522e-6, 4
